id,title,year,genre,technique,support,dimensions_h_w,location,url_imagine
100,"Bellevuestraße am Abend, Berlin",1922,cityscape,charcoal,cardboard,49.7 x 32.1,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F5c-tiAmYz2ZHInlSjEu7Ew%2Flarger.jpg&width=400
101,Abendstimmung an einem See im Grunewald,1890,landscape,pastel,board,48.2 x 34.8,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F-BR5tf5MsUpSdAl5rCQAQw%2Flarger.jpg&width=400
102,Auf dem Kanal,1912,cityscape,pastel,board,49.4 x 34.8,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FUA939TFCUW_q6IZr65DlTg%2Flarger.jpg&width=400
103,Jüdischer Friedhof,1895,landscape,pastel,cardboard,48 x 34.8,Private collection,https://media.mutualart.com/Images/2017_10/11/11/114552084/bfcfd26f-aa99-495f-b151-86a1336017b3_570.Jpeg
104,Holländische Kanallandschaft Mit Windmühlen,1913,landscape,oil,canvas,61.5 x 74.5,Private collection,"https://cdn-hampel-auctions.de/cdn-cgi/image/q=40,s=2,f=auto,metadata=copyright,w=292,fit=scale-down/img/auktionen/A113/m/Hampel-108074021.jpg"
105,Nächtliche Begegnung in der Tiergartenstrasse,1919,cityscape,etching,laid paper,21 x 15.2 ,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FNvIhcNhVaHtRYiBOxRwrww%2Flarger.jpg&width=400
106,Devorah,1920,portrait,oil,canvas,56 x 43,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FvrCXaPmyOlAFlPGMv39ORw%2Flarger.jpg&width=400
107,Avenue des Champs-Élysées,1928,cityscape,pastel,cardboard,51 x 36.5,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F_uh7bgYcpcoX2_2dPaqI-w%2Flarger.jpg&width=400
108,Sitzendes Paar an der Havel ,1920,genre scene,etching,laid paper,17.6 x 12.8,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F-1hKOHfbPue3SKGseXNGYg%2Flarger.jpg&width=400
109,Allee Im Tiergarten Mit Kutschen,1920,landscape,charcoal,cardboard,51 x 72.8,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F0_ygiRcw_bkGg6PMslup0Q%2Flarger.jpg&width=400
110,Italienische Landschaft,1890,landscape,pastel,board,47.5 x 35,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F_pw25UJvuQbVIeOJ8ZLCJw%2Flarger.jpg&width=400
111,Insel im See,1893,landscape,pastel,board,35 x 50,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F-xdD5sVo6ZIG_dU16GQiFA%2Flarger.jpg&width=400
112,Spaziergänger im Regen vor Pferdedroschke,1919,genre scene,etching,vellum paper,20 x 14,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F7HIXtoQD8qtIp3XK1d4Z2Q%2Flarger.jpg&width=400
113,Schloss Reinhartshausen,1924,cityscape,pastel,board,34 x 49,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F8MJxHR1UN1qASLzyeC7NqA%2Flarger.jpg&width=400
114,Versammlungssaal,1920,interior scene,oil,canvas,"15,6 x 9,2",Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FYku9DFKhGbt7zdMrIT3mVA%2Flarger.jpg&width=400
115,Landschaft mit Baumgruppe,1924,landscape,pastel,cardboard,35 x 48,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FqDpm9xsw9G0XZB2fLUPelg%2Flarger.jpg&width=400
116,Zeitungsleser im Café,1880,genre scene,charcoal,paper,49 x 31,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FQhy2-bzLo4fjSXJBDdbWSw%2Flarger.jpg&width=400
117,Burgruine im Rheingau,1924,landscape,oil,canvas,97 x 67,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FfcWYx_pyOkuKiu1TqGz4rA%2Flarger.jpg&width=400
118,Kartoffelschälerin am Tisch,1912,genre scene,charcoal,vellum paper,48 x 31,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FQY8bHmP_WCV_JqMLSYJHCg%2Flarger.jpg&width=400
119,Am Neuruppiner See,1910,landscape,charcoal,wove paper,32 x 47,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FdseLbjEpiImq2cZ5AEsA0Q%2Flarger.jpg&width=400
120,Landschaft mit großen Bäumen und weidenden Kühen,1912,landscape,pastel,paper,48 x 70,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FI4SqDIuWdhcM3PSgToJxjg%2Flarger.jpg&width=400
121,Bauer beim Graben,1920,genre scene,drypoint,paper,16 x 10,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FFzj0HWdh4vZJQxvr9upTUw%2Flarger.jpg&width=400
122,Straße Bei Nacht im Regen (Berlin),1898,cityscape,oil,canvas,52 x 36,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FWI4mMRMlVF32DDFzBab5tA%2Flarger.jpg&width=400
123,Nelke Und Orchidee in Vase,1920,still life,oil,canvas,50 x 36,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FFgoqg256PcxJYS9mwSummQ%2Flarger.jpg&width=400
124,Dame am Fenster vor Staffelei,1910,interior scene,oil,canvas,71 x 53,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FNxf6R_hIKU8R5sQHtjFvQg%2Flarger.jpg&width=400
125,Birken am Märkischen See,1897,landscape,pastel,cardboard,50 x 34,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F11mYbqf6sPALtpKQbQylhA%2Flarger.jpg&width=400
126,In Sonnenschein bei Volluvet,1883,landscape,oil,canvas,76.99 x 94.01,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FvFa9X1bgR7eT24AgE0m2TA%2Flarger.jpg&width=400
127,Frühlingspfad an den Hängen,1910,landscape,pastel,board,34.01 x 47.5,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F8spvwa4RT0wI8evD-exjfw%2Flarger.jpg&width=400
128,"Abendliche Straßenszene mit Figuren, Berlin",1920,cityscape,oil,canvas,51.74 x 36.2,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F554Ld0Bkh9uEAxm3OVTj8A%2Flarger.jpg&width=400
129,"Nächtliche Straßenszene, Berlin",1925,cityscape,oil,canvas,78 x 60.5,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F4hYDktU0GcKCxtaOFR5hLg%2Flarger.jpg&width=400
130,Bauerngehöft Mit Brunnen,1888,village scene,oil,canvas,78 x 96.01,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FDyh417SJ1ZG4XK8e7GCkQA%2Flarger.jpg&width=400
131,"Der Tiergarten, Berlin",1900,landscape,pastel,laid paper,35 x 49.71 ,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FEPI1WrkQGCGFl_enwvmi6w%2Flarger.jpg&width=400
132,Nächtliche Straßenszene,1920,cityscape,oil,canvas,15.01 x 8.51,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FnQwxgaL6Xm4oVEtFNLFEkQ%2Flarger.jpg&width=400
133,Berliner Straßenszene,1920,cityscape,pastel,cardboard,35 x 50.01 ,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fl3xrJNPfd9ZcUS7NixV5Dw%2Flarger.jpg&width=400
134,Dame mit Kind auf einer Straßenkreuzung,1915,genre scene,oil,canvas,70 x 50.01,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FyPC-cHtnvvyZPQPkTtJS2w%2Flarger.jpg&width=400
135,Strauß Mit Nelken In Hoher Vase,1906,still life,oil,canvas,77.8 x 46.99,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FiH9yGtT-lTvQM9YNue1DBQ%2Flarger.jpg&width=400
