id,title,year,genre,technique,support,dimensions_h_w,location,url_imagine
162,Unter den linden,1925,cityscape,pastel,cardboard,35.51 x 49.71,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FxUvsNUKE33wAHhl8B-KIbg%2Flarger.jpg&width=400
163,Phantastische Gebirgslandschaft,1879,landscape,pen,paper,49.61 x 35.51,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Ft7eupKWY17qz4iCVKGJFog%2Flarger.jpg&width=400
164,"Galerie im Café Vaterland am Potsdamer Platz, Berlin",1920,interior scene,oil,canvas,32.6 x 24.4,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F0htJRVGPg6cw3gDrMO7NeQ%2Flarger.jpg&width=400
165,Berliner Straßenszene mit Pferdedroschken,1900,cityscape,oil,canvas,50.8 x 35.6,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fq9t7CFyqasvifdfAbPr-SA%2Flarger.jpg&width=400
166,Klippen bei Capri,1890,seascape,oil,canvas,38.3 x 31.09,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fu4Tt7v7zICn3j0thcAA2tg%2Flarger.jpg&width=400
167,Holländisches Dorf am Kanal mit Windmühle im Hintergrund,1912,village scene,oil,canvas,34.01 x 54,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fo5Ada1XKWGTBuaeueXf3QA%2Flarger.jpg&width=400
168,Blick über die London Bridge,1926,cityscape,pastel,cardboard,35.51 x 49.91,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FfEdNyumz-X4dfLuP9aZgHw%2Flarger.jpg&width=400
169,Herbstallee,1892,landscape,pastel,cardboard,51.1 x 35.61,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FZqmUQxqG0zY_SVpVdJwD2w%2Flarger.jpg&width=400
170,Strasse im Tiergarten (Berlin),1925,cityscape,pastel,cardboard,35.2 x 50.09,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F-YqRM9qHrtEBK87B96FC-w%2Flarger.jpg&width=400
171,Burgruine am Rhein,1924,landscape,oil,canvas,51 x 37.01,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F9AFjMaONmLv2n7_NKx5_1Q%2Flarger.jpg&width=400
172,Le madeleine,1928,interior scene,oil,canvas,35.51 x 50.8,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FJSaooxKhRF107vaZRLoawA%2Flarger.jpg&width=400
173,Jakob segnet Benjamin,1884,biblical scene,pastel,cardboard,22.4 x 26.11,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FSBHRO18DdekL4lCLhL7g6w%2Flarger.jpg&width=400
174,Flussansicht mit Brücke,1881,landscape,oil,panel,9.5 x 16.51,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fr4I-TCPJOtkapLL1gHkW3g%2Flarger.jpg&width=400
175,Landschaft mit Kühen an einem Kanal,1894,landscape,pastel,paper,93.98 x 71.12,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FhJYTgSCSxySxV19P_T5jtg%2Flarger.jpg&width=400
176,Dorfstraße mit einer Pferdekutsche,1890,village scene,oil,panel,12.7 x 22.86,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FQ-likJ9z2XbDB42DEn-6sw%2Flarger.jpg&width=400
177,Sonnenuntergang am Grunewaldsee,1900,landscape,oil,canvas,68.58 x 101.6,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fbsp8TKKCBhzQ4y5bPAlqdg%2Flarger.jpg&width=400
178,"Sonnenaufgang, Paris",1928,cityscape,pastel,paper,35.56 x 50.8,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FIxj-O81yXQqI-6Vw1IBX5g%2Flarger.jpg&width=400
179,David im Gebet,1910,biblical scene,oil,canvas,53.3 x 77.2 ,Private collection,https://media.mutualart.com/Images/2009_07/06/0119/495646/63566bfd-47da-44a0-8506-5305a2aaf66b_g_570.Jpeg
180,"Straßenszene, Berlin",1888,cityscape,oil,panel,22.86 x 12.7,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fho2f1nrW2mgPRs1sAqjeCg%2Flarger.jpg&width=400
181,Siegesallee with victory column in autumn,1920,landscape,pastel,paper,35.56 x 48.26,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FAiMa6Mn6SdueZUcmpSWekw%2Flarger.jpg&width=400
182,München,1919,cityscape,oil,canvas,43.18 x 33.02,Private collection,https://d7hftxdivxxvm.cloudfront.net/?height=400&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FkDyBM54bxsXivrsaITmImw%2Flarger.jpg&width=400
